;Unnamed: 0;2023;2024;2025;2026;2027;TOTAL
0;;;;;;;
1;HEADING 7 of the multiannual financial framework;;;;;;
2;Human resources;0465;0474;0484;0494;0503;2421
3;Other administrative expenditure;0055;0107;0107;-;-;0269
4;Subtotal HEADING 7 of the multiannual financial framework;0520;0581;0591;0494;0503;2689
5;;;;;;;
6;Outside HEADING 7[1] of the multiannual financial framework;;;;;;
7;Human resources;-;-;-;-;-;-
8;Other expenditure of an administrative nature;-;-;-;-;-;-
9;Subtotal outside HEADING 7 of the multiannual financial framework;-;-;-;-;-;-
10;;;;;;;
11;TOTAL;0520;0581;0591;0494;0503;2689
