"docname","sentence","datelabel","isodate"
"Notification on the Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA)","Based on the above factual evidence about 2020 and the first half of 2021, the likelihood for any actual CORSIA offsetting requirements materialising in respect of 2021 is minimal, and is also very low in respect of 2022","2021","2021-01-01"
"Proposal for a Directive on energy efficiency (recast)","Regardless of whether Member States exclude, in whole or in part, energy used in transport from their calculation baseline or make use of any of the options listed in paragraph 84, they shall ensure that the calculated net amount of new savings to be achieved in final energy consumption during the obligation period ⇨ referred to in point (b) of the first subparagraph of paragraph 1 ⇦ from 1 January 2021 to 31 December 2030 ⇨ 2023 ⇦ is not lower than the amount resulting from applying the annual savings rate referred to in point (b) of the first subparagraph of paragraph 1","january 2021","2021-01-01"
"Strategic rollout plan to support rapid deployment of alternative fuels infrastructure","2    Make best use of national recovery and resilience planning  The Annual Growth Strategy 2021 (AGS 2021) identified investment in sustainable transport as one of the key priorities for the national recovery and resilience plans (RRPs), packages of reforms and investments that will be prepared by Member States in the context of the Recovery and Resilience Facility","2021","2021-01-01"
"Notification on the Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA)","This proposal should be adopted by Council and the European Parliament once the emissions data for 2021 will be known, that is after 1 January 2022","2021","2021-01-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","2021, p","2021","2021-01-01"
"Proposal for a Directive on energy efficiency (recast)","By way of derogation from paragraph 1 of this Article, Member States that allow obligated parties to use the option referred to in point (b) of Article 7a(6) may, for the purpose of point (a) of the first subparagraph of paragraph 1 of this Article, count energy savings obtained in any given year after 2010 and before the obligation period referred to in point (a) of the first subparagraph of paragraph 1 of this Article as if those energy savings had instead been obtained after 31 December 2013 and before 1 January 2021, provided that all of the following circumstances apply: (a)the energy efficiency obligation scheme was in force at any point between 31 December 2009 and 31 December 2014 and was included in the Member State's first National Energy Efficiency Action Plan submitted under Article 24(2)","january 2021","2021-01-01"
"Strategic rollout plan to support rapid deployment of alternative fuels infrastructure","The AGS 2021 also proposed creating under the Recovery and Resilience Facility a European flagship initiative named ‘Recharge and refuel’ 31 , with the aim of promoting future-proof clean technologies to accelerate the use of sustainable, accessible and smart transport, charging and refuelling stations and to expand public transport","2021","2021-01-01"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","Dedicated obligations on aviation fuel suppliers should be set only pursuant to [Regulation (EU) 2021/XXX on ensuring a level playing field for sustainable air transport","2021","2021-01-01"
"Proposal for a Directive on energy efficiency (recast)","By way of derogation from that requirement, Cyprus and Malta shall achieve new savings each year from 1 January 2021 to 31 December 2030 ⇨ 2023 ⇦ equivalent to 0,24 % of annual final energy consumption, averaged over the most recent three-year period prior to 1 January 2019","january 2021","2021-01-01"
"Proposal for a Directive on energy efficiency (recast)","Member States shall describe in ⇨ the updates of ⇦ their integrated national energy and climate plans ⇨ in accordance with Article 14 of Regulation (EU) 2018/1999, in their subsequent integrated national energy and climate plans pursuant to Articles 3 and 7 to 12 of and ⇦ in accordance with Annex III to Regulation (EU) 2018/1999, ⇨ and respective progress reports ⇦ the calculation of the amount of energy savings to be achieved over the period from 1 January 2021 to 31 December 2030 referred to in point (b) of the first subparagraph of paragraph 1 of this Article and shall, if relevant, explain how the annual savings rate and the calculation baseline were established, and how and to what extent the options referred to in paragraph 84 of this Article were applied","january 2021","2021-01-01"
"Proposal for a Directive on energy efficiency (recast)","By 1 January 2021, the Commission shall carry out an assessment of the potential for energy efficiency in conversion, transformation, transmission, transportation and storage of energy, and shall submit a report to the European Parliament and to the Council","1 january 2021","2021-01-01"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","5 of the Impact Assessment accompanying this proposal, SWD (2021) XXX)","2021","2021-01-01"
"Proposal for a Directive on energy efficiency (recast)","(b)new savings each year from 1 January 2021 to 31 December 2030 ⇨ 2023 ⇦ of 0,8 % of annual final energy consumption, averaged over the most recent three-year period prior to 1 January 2019","january 2021","2021-01-01"
"Revision of the Market Stability Reserve","(15)    In particular Vivid Economics, (2021) – “Review of the EU ETS’ Market Stability Reserve”, report prepared for DG CLIMA","2021","2021-01-01"
"Revision of the Market Stability Reserve","(27)    Special Eurobarometer 513 on Climate Change, 2021 ( https://ec","2021","2021-01-01"
"Revision of the Market Stability Reserve","2021, p","2021","2021-01-01"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","The achievement of those targets should be ensured by obligations on fuel suppliers as well as by other measures included in [Regulation (EU) 2021/XXX on the use of renewable and low-carbon fuels in maritime transport - FuelEU Maritime and Regulation (EU) 2021/XXX on ensuring a level playing field for sustainable air transport","2021","2021-01-01"
"Carbon border adjustment mechanism","2021, p","2021","2021-01-01"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","The achievement of those targets should be ensured by obligations on fuel suppliers as well as by other measures included in [Regulation (EU) 2021/XXX on the use of renewable and low-carbon fuels in maritime transport - FuelEU Maritime and Regulation (EU) 2021/XXX on ensuring a level playing field for sustainable air transport","2021","2021-01-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","(b) total emissions within the Union do not exceed total removals in the land accounting categories referred to in Article 2(1) of this Regulation in the period from 2021 to 2025","2021","2021-01-01"
"Revision of the Market Stability Reserve","(17)    Vivid Economics, (2021) – “Review of the EU ETS’ Market Stability Reserve”, report prepared for DG CLIMA","2021","2021-01-01"
"Revision of the Market Stability Reserve","2021, p","2021","2021-01-01"
"Social Climate Fund","2021, p","2021","2021-01-01"
"Notification on the Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA)","(5)Aviation emissions are highly likely to not exceed their collective 2019 levels in 2021","2021","2021-01-01"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","It is part of a broader exercise that affects other energy and climate legislation and policy initiatives, as announced in the EGD roadmap, and in the Commission work programme for 2021 under the title “Fit for 55 package”","2021","2021-01-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","Member States shall submit evidence to the Commission concerning the impact of natural disturbances calculated pursuant to Annex VI in order to be eligible for compensation of remaining sinks accounted for as emissions against its forest reference level, up to the full amount of unused compensation by other Member States set out in Annex VII for the period from 2021 to 2025","2021","2021-01-01"
"Proposal for a Directive on energy efficiency (recast)","Member States shall inform the Commission about their intended policy measures under this point for the period from 1 January 2021 to 31 December 2030 as part of their integrated national energy and climate plans","january 2021","2021-01-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","Finland may compensate up to an additional 5 million tonnes of CO2 equivalent accounted emissions under the land accounting categories managed forest land, deforested land, managed cropland and managed grassland, in the period from 2021 to 2025, provided that the following conditions are fulfilled:  (a) Finland included in its strategy submitted in accordance with Article 15 of Regulation (EU) 2018/1999 ongoing or planned specific measures to ensure the conservation or enhancement, as appropriate, of forest sinks and reservoirs","2021","2021-01-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","(f)    where a Member State has notified to the Commission its intention to include such land use in the scope of its commitments pursuant to Article 4(1) by 31 December 2020,  land use reported as either of the following (‘managed wetland’): —    wetland remaining wetland","31 december 2020","2020-12-31"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","Managed Wetlands is included within the scope of the amendment for 2021-2025 only for MS that notified the intention to include it by 31 December 2020 (selected by just two Member States)","31 december 2020","2020-12-31"
"Social Climate Fund","(23)    Article 21 of Council Regulation (EU, Euratom) 2020/2093 of 17 December 2020 laying down the multiannual financial framework for the years 2021 to 2027 (OJ L 433I, 22","17 december 2020","2020-12-17"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","(3)The Union committed to reducing the Union’s economy-wide net greenhouse gas emissions by at least 55 % below 1990 levels by 2030 in the updated nationally determined reduction commitment submitted to the UNFCCC Secretariat on 17 December 2020 29","17 december 2020","2020-12-17"
"Revision of the EU Emission Trading System for Aviation","(6)The Union undertook to reduce its economy-wide net greenhouse gas emissions by at least 55 % below 1990 levels by 2030 in the updated nationally determined reduction commitment of the Union and its Member States submitted to the UNFCCC Secretariat on 17 December 2020 16","17 december 2020","2020-12-17"
"Revision of the Market Stability Reserve","(5)The Union committed to reduce the Union’s economy-wide net greenhouse gas emissions by at least 55 % by 2030 below 1990 levels in the updated nationally determined contribution submitted to the UNFCCC Secretariat on 17 December 2020 28","17 december 2020","2020-12-17"
"Carbon border adjustment mechanism","(28)    Interinstitutional Agreement of 16 December 2020 between the European Parliament, the Council of the European Union and the European Commission on budgetary discipline, on cooperation in budgetary matters and on sound financial management, as well as on new own resources, including a roadmap towards the introduction of new own resources (OJ L 433I , 22","16 december 2020","2020-12-16"
"Carbon border adjustment mechanism","(56)    Interinstitutional Agreement of 16 December 2020 between the European Parliament, the Council of the European Union and the European Commission on budgetary discipline, on cooperation in budgetary matters and on sound financial management, as well as on new own resources, including a roadmap towards the introduction of new own resources (OJ L 433I , 22","16 december 2020","2020-12-16"
"Effort Sharing Regulation","(36)    Commission Implementing Decision (EU) 2020/2126 of 16 December 2020 on setting out the annual emission allocations of the Member States for the period from 2021 to 2030 pursuant to Regulation (EU) 2018/842 of the European Parliament and of the Council (OJ L 426, 17","16 december 2020","2020-12-16"
"Carbon border adjustment mechanism","Compatibility with the Multiannual Financial Framework and possible synergies with other appropriate instruments  In the interinstitutonal agreement of 16 December 2020, signed in the context of the negotiations, the European Parliament, the Council and the Commission agreed that ""the institutions will work towards introducing sufficient new own resources with a view to covering an amount corresponding to the expected expenditure related to the repayment"" of NextGenerationEU 56","16 december 2020","2020-12-16"
"Social Climate Fund","(11)    Council Regulation (EU) 2020/2094 of 14 December 2020 establishing a European Union Recovery Instrument to support the recovery in the aftermath of the COVID-19 crisis (OJ L 433I , 22","14 december 2020","2020-12-14"
"Social Climate Fund","(41)    Council Decision (EU, Euratom) 2020/2053 of 14 December 2020 on the system of own resources of the European Union and repealing Decision 2014/335/EU, Euratom (OJ L 424, 15","14 december 2020","2020-12-14"
"Carbon border adjustment mechanism","(26)    Council Decision (EU, Euratom) 2020/2053 of 14 December 2020 on the system of own resources of the European Union and repealing Decision 2014/335/EU, Euratom (OJ L 424, 15","14 december 2020","2020-12-14"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","Stakeholder views were also gathered in two workshops, the first one was held on 11 December 2020 (close to 400 participants) and the second one was on 22 March 2021 (close to 1000 participants)","11 december 2020","2020-12-11"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","2020, Stepping up Europe’s 2030 climate ambition Investing in a climate-neutral future for the benefit of our people (7)    European Parliament resolution of 15 January 2020 on the European Green Deal (2019/2956(RSP)) (8)    European Council conclusions of 11 December 2020,  https://www","11 december 2020","2020-12-11"
"Proposal for a Directive on energy efficiency (recast)","Member States may count energy savings that stem from policy measures, whether introduced by 31 December 2020 or after that date, provided that those measures result in new individual actions that are carried out after 31 December 2020","december 2020","2020-12-01"
"Proposal for a Directive on energy efficiency (recast)","Member States may count energy savings that stem from policy measures, whether introduced by 31 December 2020 or after that date, provided that those measures result in new individual actions that are carried out after 31 December 2020","december 2020","2020-12-01"
"Effort Sharing Regulation","The European Council endorsed the new EU binding target for 2030 at its meeting of December 2020 4","december 2020","2020-12-01"
"Proposal for a Directive on energy efficiency (recast)","On the other hand, energy savings achieved after 31 December 2020 should not count towards the cumulative end-use energy savings required for the period from 1 January 2014 to 31 December 2020","december 2020","2020-12-01"
"Proposal for a Directive on energy efficiency (recast)","(b)for the calculation of the amount of energy savings required for the obligation period referred to in point (b) of the first subparagraph of paragraph 1, Member States may make use of points (b) to (g) of paragraph 84, provided individual actions referred to in point (d) of paragraph 4 continue to have a verifiable and measurable impact after 31 December 2020","december 2020","2020-12-01"
"Proposal for a Directive on energy efficiency (recast)","(e)count towards the amount of required energy savings, energy savings that stem from policy measures, provided that it can be demonstrated that those measures result in individual actions carried out from 1 January 2018 to 31 December 2020 which deliver savings after 31 December 2020","december 2020","2020-12-01"
"Effort Sharing Regulation","(4)    European Council Conclusions 10-11 December 2020 EUCO 22/20 CO EUR 17 CONCL 8","december 2020","2020-12-01"
"Social Climate Fund","(4)    European Council Conclusions 10-11 December 2020 EUCO 22/20 CO EUR 17 CONCL 8","december 2020","2020-12-01"
"Social Climate Fund","(59)    Regulation (EU, Euratom) 2020/2092 of the European Parliament and of the Council of 16 December 2020 on a general regime of conditionality for the protection of the Union budget (OJ L 433I, 22","december 2020","2020-12-01"
"Revision of the Directive on deployment of the alternative fuels infrastructure","In December 2020, the Commission adopted the Sustainable and Smart Mobility Strategy communication 5 )","december 2020","2020-12-01"
"Proposal for a Directive on energy efficiency (recast)","On the other hand, energy savings achieved after 31 December 2020 should not count towards the cumulative end-use energy savings required for the period from 1 January 2014 to 31 December 2020","december 2020","2020-12-01"
"Effort Sharing Regulation","In December 2020, the European Council called for delivering the target collectively by the EU in the most cost-effective manner possible, preserving EU’s competitiveness and taking account of Member States’ different starting points, specific national circumstances and emission reduction potential","december 2020","2020-12-01"
"Proposal for a Directive on energy efficiency (recast)","(e)count towards the amount of required energy savings, energy savings that stem from policy measures, provided that it can be demonstrated that those measures result in individual actions carried out from 1 January 2018 to 31 December 2020 which deliver savings after 31 December 2020","december 2020","2020-12-01"
"Proposal for a Directive on energy efficiency (recast)","(g)count towards the amount of required energy savings ⇨ pursuant to point (a) and (b) of the first subparagraph of paragraph 1 ⇦, energy savings that exceed the energy savings required for the obligation period from 1 January 2014 to 31 December 2020, provided that those savings result from individual actions carried out under policy measures referred to in Articles 9a and 107b, notified by Member States in their National Energy Efficiency Action Plans and reported in their progress reports in accordance with Article 24","december 2020","2020-12-01"
"Proposal for a Directive on energy efficiency (recast)","Energy savings achieved after 31 December 2020 shall not count towards the amount of required energy savings for the period from 1 January 2014 to 31 December 2020","december 2020","2020-12-01"
"Social Climate Fund","(4)On 11 December 2020 the European Council endorsed that target, while underlining the importance of considerations of fairness and solidarity and leaving no one behind","december 2020","2020-12-01"
"Proposal for a Directive on energy efficiency (recast)","By 31 December 2020, the Commission shall, after consulting relevant stakeholders, prepare a common methodology in order to encourage network operators to reduce losses, implement a cost-efficient and energy-efficient infrastructure investment programme and properly account for the energy efficiency and flexibility of the grid","december 2020","2020-12-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","The European Council endorsed the new EU binding target for 2030 at its meeting of December 2020 4","december 2020","2020-12-01"
"Revision of the EU Emission Trading System for Aviation","In its conclusions of December 2020, the European Council “invites the Commission to assess how all economic sectors can best contribute to the 2030 target and to make the necessary proposals, accompanied by an in-depth examination of the environmental, economic and social impact at Member State level” 4","december 2020","2020-12-01"
"Carbon border adjustment mechanism","(5)    Conclusions of the European Council of 11 December 2020","december 2020","2020-12-01"
"Proposal for a Directive on energy efficiency (recast)","(3)In December 2020, the European Council endorsed a binding Union target of a net domestic reduction of at least 55% in greenhouse gas emissions by 2030 compared to 1990","december 2020","2020-12-01"
"ReFuelEU Aviation – sustainable aviation fuels","(7)The Communication on a Sustainable and Smart Mobility Strategy 10  adopted by the Commission in December 2020 sets a course of action for the EU transport system to achieve its green and digital transformation and become more resilient","december 2020","2020-12-01"
"Proposal for a Directive on energy efficiency (recast)","When using another method, Member States shall ensure that the total amount of energy savings calculated using that method does not exceed the amount of energy savings that would have been the result of their calculation when counting the savings each individual action will achieve during the period from its date of implementation to 31 December 2020 or 31 December 2030 as appropriate","december 2020","2020-12-01"
"Proposal for a Directive on energy efficiency (recast)","Energy savings achieved after 31 December 2020 shall not count towards the amount of required energy savings for the period from 1 January 2014 to 31 December 2020","december 2020","2020-12-01"
"Revision of the Energy Tax Directive","The European Council endorsed the new EU binding target for 2030 at its meeting of December 2020 2","december 2020","2020-12-01"
"Revision of the Market Stability Reserve","The European Council endorsed the new EU binding target for 2030 at its meeting of December 2020 4","december 2020","2020-12-01"
"Revision of the Energy Tax Directive","(2)    European Council Conclusions 10-11 December 2020 EUCO 22/20 CO EUR 17 CONCL 8","december 2020","2020-12-01"
"Carbon border adjustment mechanism","On 10-11 December 2020, the European Council in its conclusions endorsed this increased EU target","december 2020","2020-12-01"
"Proposal for a Directive on energy efficiency (recast)","Member States shall achieve cumulative end-use energy savings at least equivalent to: (a)new savings each year from 1 January 2014 to 31 December 2020 of 1,5 % of annual energy sales to final customers by volume, averaged over the most recent three-year period prior to 1 January 2013","december 2020","2020-12-01"
"Proposal for a Directive on energy efficiency (recast)","In December 2020, the European Council endorsed a binding EU target of a net domestic reduction of at least 55% in greenhouse gas emissions by 2030 compared to 1990","december 2020","2020-12-01"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","This objective requires a greenhouse as emissions reduction of 55% by 2030 as confirmed by the European Council in December 2020","december 2020","2020-12-01"
"Social Climate Fund","The increased climate ambition of the Union as confirmed by the European Council conclusions of December 2020 and May 2021, as well as the provisions of the European Climate Law are taken into account while establishing the Fund","december 2020","2020-12-01"
"Proposal for a Directive on energy efficiency (recast)","That calculation shall count the savings each individual action will achieve during the period from its date of implementation to ⇨ the end of each obligation period ⇦ 31 December 2020 or 31 December 2030 as appropriate","december 2020","2020-12-01"
"Effort Sharing Regulation","(9)In its conclusions of 11 December 2020 the European Council mentioned that the 2030 target will be delivered collectively by the Union in the most cost-effective manner possible, that all Member States will participate in this effort, taking into account considerations of fairness and solidarity, while leaving no one behind, and that the new 2030 target needs to be achieved in a way that preserves the Union’s competitiveness and takes account of Member States’ different starting points and specific national circumstances and emission reduction potential, including those of island Member States and islands, as well as efforts made","december 2020","2020-12-01"
"ReFuelEU Aviation – sustainable aviation fuels","The Commission adopted in December 2020 the Sustainable and Smart Mobility Strategy 4","december 2020","2020-12-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","(4)    European Council Conclusions 10-11 December 2020 EUCO 22/20 CO EUR 17 CONCL 8","december 2020","2020-12-01"
"Social Climate Fund","The European Council endorsed the new Union binding target for 2030 at its meeting of December 2020 4","december 2020","2020-12-01"
"Revision of the Market Stability Reserve","(4)    European Council Conclusions 10-11 December 2020 EUCO 22/20 CO EUR 17 CONCL 8","december 2020","2020-12-01"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","In addition, the Commission launched an online public consultation (OPC) on 17 November 2020 for 12 weeks, in line with the Commission Better Regulation rules","17 november 2020","2020-11-17"
"Proposal for a Directive on energy efficiency (recast)","The Commission also launched the internet based public consultation from 17 November 2020 until 9 February 2021, in line with the Commission Better Regulation rules","17 november 2020","2020-11-17"
"Social Climate Fund","(18)    This was open for 12 weeks from 13 November 2020 to 5 February 2021","13 november 2020","2020-11-13"
"Effort Sharing Regulation","Additionally, in order to collect evidence and ensure greater transparency, the Commission organised a public consultation from 13 November 2020 to 5 February 2021","13 november 2020","2020-11-13"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","Furthermore, in order to collect evidence and ensure greater transparency, the Commission organised a public consultation for each of the proposals from 13 November 2020 to 5 February 2021","13 november 2020","2020-11-13"
"Proposal for a Directive on energy efficiency (recast)","In addition, nine dedicated stakeholder meetings were organised in the period from September to October 2020 with targeted stakeholder groups on specific topics, and a dedicated Energy Efficiency Directive expert group meeting was held on 10 November 2020","10 november 2020","2020-11-10"
"Revision of the Market Stability Reserve","The inception impact assessment was open for feedback from 29 October 2020 to 26 November 2020 and received about 250 contributions 12","november 2020","2020-11-01"
"ReFuelEU Aviation – sustainable aviation fuels","The Commission organised two roundtables (in March and November 2020), each time with sessions dedicated to discussions with stakeholders and Member States, and sessions dedicated to discussions with Member States only","november 2020","2020-11-01"
"Notification on the Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA)","In November 2020, the European Organisation for the Safety of Air Navigation (Eurocontrol) published its forecast for the recovery of the European aviation sector for the years 2020-2024 4","november 2020","2020-11-01"
"Effort Sharing Regulation","The inception impact assessment was open for feedback from 29 October 2020 to 26 November 2020 and 101 contributions were received 18","november 2020","2020-11-01"
"Social Climate Fund","(19)    The inception impact assessment was open for feedback from 29 October 2020 to 26 November 2020 and received about 250 contributions","november 2020","2020-11-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","The delegated acts referred to in paragraphs 8 and 9 shall be adopted by 31 October 2020 for the period from 2021 to 2025","31 october 2020","2020-10-31"
"Revision of the Market Stability Reserve","The inception impact assessment was open for feedback from 29 October 2020 to 26 November 2020 and received about 250 contributions 12","29 october 2020","2020-10-29"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","•Stakeholder consultations The Inception Impact Assessment was published for feedback on 29 October 2020 for four weeks, and received a total of 93 responses","29 october 2020","2020-10-29"
"Effort Sharing Regulation","More precisely, for the purpose of this proposal, the Commission published on 29 October 2020 an inception impact assessment outlining the initial considerations and policy options of the revision","29 october 2020","2020-10-29"
"Social Climate Fund","(19)    The inception impact assessment was open for feedback from 29 October 2020 to 26 November 2020 and received about 250 contributions","29 october 2020","2020-10-29"
"Effort Sharing Regulation","The inception impact assessment was open for feedback from 29 October 2020 to 26 November 2020 and 101 contributions were received 18","29 october 2020","2020-10-29"
"Effort Sharing Regulation","(37)    Commission Delegated Regulation (EU) 2021/268 of 28 October 2020 amending Annex IV to Regulation (EU) 2018/841 of the European Parliament and of the Council as regards the forest reference levels to be applied by the Member States for the period 2021-2025 (OJ L 60, 22","28 october 2020","2020-10-28"
"Revision of the Energy Tax Directive","The public consultation was open from 22 July 2020 to 14 October 2020","14 october 2020","2020-10-14"
"Social Climate Fund","(16)    Commission Recommendation (EU) 2020/1563 of 14 October 2020 on energy poverty C/2020/9600 (OJ L 357, 27","14 october 2020","2020-10-14"
"ReFuelEU Aviation – sustainable aviation fuels","An open public consultation of 12 weeks ran from August to October 2020","october 2020","2020-10-01"
"Proposal for a Directive on energy efficiency (recast)","🡻 2018/2002 recital 33 (adapted) (76)By 25 October 2020, Nnewly installed heat meters and heat cost allocators should be remotely readable to ensure cost-effective, frequent provision of consumption information","october 2020","2020-10-01"
"Revision of the Directive on deployment of the alternative fuels infrastructure","Targeted stakeholder interviews and surveys between October 2020 and January 2021: the Commission held exploratory interviews with EU-level representatives of key stakeholders, particularly to support and refine the overall problem definition and possible policy options","october 2020","2020-10-01"
"Proposal for a Directive on energy efficiency (recast)","Minimum frequency of billing or consumption information ⌦ Until 31 December 2021 ⌫ From 25 October 2020, where remotely readable meters or heat cost allocators have been installed, billing or consumption information based on actual consumption or heat cost allocator readings shall be provided to final users at least quarterly upon request or where final customers have opted to receive electronic billing, or else twice a year","october 2020","2020-10-01"
"Proposal for a Directive on energy efficiency (recast)","For the purposes of Articles 139a and 149b, ⌦ newly installed ⌫ meters and heat cost allocators installed after 25 October 2020 shall be remotely readable devices","october 2020","2020-10-01"
"Revision of the Energy Tax Directive","(46)    Commission Implementing Regulation (EU) 2020/1577 of 21 September 2020 amending Annex I to Council Regulation (EEC) No 2658/87 on the tariff and statistical nomenclature and on the Common Customs Tariff (OJ L 361, 30","21 september 2020","2020-09-21"
"Revision of the Energy Tax Directive","(22)    Commission Implementing Regulation (EU) 2020/1577 of 21 September 2020 amending Annex I to Council Regulation (EEC) No 2658/87 on the tariff and statistical nomenclature and on the Common Customs Tariff (OJ L 361, 30","21 september 2020","2020-09-21"
"Proposal for a Directive on energy efficiency (recast)","•    Stakeholder consultations The evaluation roadmap/ inception impact assessment was published on 3 August 2020 and was available until 21 September 2020","21 september 2020","2020-09-21"
"FuelEU Maritime – green European maritime space","–A stakeholders roundtable, organised by the Commission on 18 September 2020 with members of European Sustainable Shipping Forum 15  (ESSF) and the European Ports Forum 16  (EPF)","18 september 2020","2020-09-18"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","(7)The Communication of 17 September 2020 on Stepping up Europe’s 2030 climate ambition 33  outlined an option to combine agriculture non-CO2 greenhouse gas emissions with land use, land use change and forestry net removals, thus creating a newly regulated land sector","17 september 2020","2020-09-17"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","Based on a comprehensive impact assessment, the Commission’s Communication of 17 September 2020 on Stepping up Europe’s 2030 climate ambition 3  proposed to raise the EU’s ambition and put forward a comprehensive plan to increase the European Union’s binding target for 2030 towards at least 55% net emission reduction, in a responsible way","17 september 2020","2020-09-17"
"Carbon border adjustment mechanism","(16)    State of the Union Address by President von der Leyen at the European Parliament Plenary on 16 September 2020","16 september 2020","2020-09-16"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","eu/repository/handle/JRC122719  (14)    Commission Implementing Regulation (EU) 2020/1294 of 15 September 2020 on the Union renewable energy financing mechanism (OJ L 303, 17","15 september 2020","2020-09-15"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","(25)    Commission Implementing Regulation (EU) 2020/1294 of 15 September 2020 on the Union renewable energy financing mechanism (OJ L 303, 17","15 september 2020","2020-09-15"
"FuelEU Maritime – green European maritime space","In September 2020, the Commission adopted a proposal to cut greenhouse gas emissions by at least 55% by 2030 2  and put the EU on a responsible path to becoming climate neutral by 2050","september 2020","2020-09-01"
"Revision of the Market Stability Reserve","IT development and procurement choices will be performed according to the Communication on the guidelines on financing of information technology and cybersecurity, of 10 September 2020 21","september 2020","2020-09-01"
"Carbon border adjustment mechanism","(4)    Communication from the Commission of 17 September 2020 on Stepping up Europe’s 2030 climate ambition","september 2020","2020-09-01"
"FuelEU Maritime – green European maritime space","–A targeted stakeholders consultation organised by the consultant responsible for the impact assessment support study, running from 18 August 2020 to 18 September 2020 and directed at experts from the European Sustainable Shipping Forum (ESSF)","september 2020","2020-09-01"
"Revision of the Energy Tax Directive","Main results When proposing, in September 2020, its updated 2030 greenhouse gas emissions reduction of at least 55%, compared to 1990, the European Commission also described the actions across all sectors of the economy that would complement national efforts to achieve the increased ambition","september 2020","2020-09-01"
"Revision of the Directive on deployment of the alternative fuels infrastructure","In September 2020, the Commission adopted its proposal for a European Climate Law to reduce net emissions of greenhouse gases by at least 55% by 2030 compared to 1990 and to put Europe on a responsible path to becoming climate-neutral by 2050 3","september 2020","2020-09-01"
"Notification on the Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA)","The inception impact assessment on updated rules for aviation ETS was published on 3 July 2020 with a feedback period lasting until 28 August 2020, and the open public consultation was conducted through an online survey between 1 October 2020 and 14 January 2021","28 august 2020","2020-08-28"
"Proposal for a Directive on energy efficiency (recast)","•    Stakeholder consultations The evaluation roadmap/ inception impact assessment was published on 3 August 2020 and was available until 21 September 2020","3 august 2020","2020-08-03"
"Revision of the Energy Tax Directive","The public consultation was open from 22 July 2020 to 14 October 2020","22 july 2020","2020-07-22"
"Notification on the Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA)","The inception impact assessment on updated rules for aviation ETS was published on 3 July 2020 with a feedback period lasting until 28 August 2020, and the open public consultation was conducted through an online survey between 1 October 2020 and 14 January 2021","3 july 2020","2020-07-03"
"FuelEU Maritime – green European maritime space","As part of preparing the proposal, other consultation activities included:  –An open public consultation, organised by the Commission, running from 2 July 2020 to 10 September 2020","2 july 2020","2020-07-02"
"ReFuelEU Aviation – sustainable aviation fuels","This study started in July 2020 and was concluded early 2021","july 2020","2020-07-01"
"FuelEU Maritime – green European maritime space","This study was launched in July 2020 and was concluded in March 2021","july 2020","2020-07-01"
